"donor1_day0" "donor1_day1" "donor1_day2" "donor1_day3" "donor1_day4" "donor1_day5" "donor1_day8" "donor1_day14" "donor2_day0" "donor2_day1" "donor2_day2" "donor2_day3" "donor2_day4" "donor2_day5" "donor2_day8" "donor2_day14" "donor3_day0" "donor3_day1" "donor3_day2" "donor3_day3" "donor3_day4" "donor3_day5" "donor3_day8" "donor3_day14"
"A73" 0 2 13.692 15.153 28.217 28.887 49.697 18 0 0 8 7.367 27.038 37 34.868 23.544 0 1.065 6.927 15.916 21.428 42.32 27.865 13
"BALF1" 0 4 0 2 2 0 9 2 0 0 0 1 0 0 0 1 0 3 0 0 6 6 2 3
"BALF2" 0 10 7 24 4 5 112 3 0 8 2 8 13 1 19 0 1 0 4 14 14 17 7 12
"BALF3" 3 0 75.993 151.938 140.094 275.597 380.035 105.907 4 32.745 52.134 80.606 209.949 131.992 135.654 128.404 2 49 48.581 87.547 141.428 277.724 101.049 142.204
"BALF4" 0 22.016 42.004 94.317 81.114 120.785 204.913 30.627 0 20.963 26.866 40.414 57.013 53.213 35.764 41.052 0 17 41.357 46.537 63.602 101.603 42.025 76.796
"BALF5" 2 12.984 71.907 83.513 97.542 97.365 283.921 53.357 0 23.539 29 72.613 85.161 66.796 76.889 39 0 18.001 35.125 94.317 132.626 126.184 61.448 51
"BARF0" 0 9 0 0 33.034 0 0 0 0 2.292 0 0 0 0 32.446 0 0 0 0 0 0 0 0 0
"BaRF1" 0 43 40.359 18.828 4.309 30.186 59.543 3.002 1 33.303 23.763 14 8.103 11 21 8.925 0 31.829 38 23 8 31 12.946 15
"BARF1" 0 6 3 0 2 0 13.075 0 0 5 3 3 4 4 1.711 7 0 0 0 1 2 0 6 6
"BBLF1" 0 6 16.854 8 9 8 17.918 10.806 0 3 1 9 12.85 12 1 0 0 20.953 7 0 6 4.938 6.857 7
"BBLF2/BBLF3" 0 21 51.623 81 16.997 31 165.9 38.945 1 22 38.895 35.083 41.801 26 41 19.815 0 26 32.305 20.151 33.014 40.066 34.681 20
"BBLF4" 0.995 38 74.563 47.139 36.844 25.492 134.676 30.974 1 18.19 58.662 18.999 28 32 37 31.949 1 10 36.186 16 18.763 35 26.331 19.442
"BBRF1" 3 45.275 73.307 67.443 46.331 45.911 124.123 35.22 1 49.81 35.474 30.013 36.664 49.829 44 34.284 1 53 38.814 44.446 48.351 40.623 16.436 12.558
"BBRF2" 2 25.725 44.129 41.866 41.828 36.616 71.41 12.53 0 11 45.671 43.545 45 43.171 23 17.952 0 16 32.695 38.404 39.872 60.311 22.883 11
"BBRF3" 0 44 71.377 70.866 28 25.004 75 14 3 68 30.299 58.372 17.078 17 22.943 27 0 32 41 13 36.694 38 20 28
"BcLF1" 1 61 77.211 70.063 49.13 45.532 247.855 44.36 3 32.398 33.33 57 41.515 67.343 45.003 32.422 1 36.966 41 31 45.961 56.281 23 40.479
"BcRF1" 4.318 25 153.582 164.733 90.599 99.287 233.619 81.842 3 96.527 89.118 104.915 94.16 68.997 91.728 44.245 2 56.303 89.615 29 99.977 153.819 53.331 65.565
"BCRF1" 0 1 0 6 1 0 33 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0
"BDLF1" 0 6 12 3 2 6 35.39 9.004 0 0 5 5 11.18 0 0 0 0 1 4 4 8.766 8 1 4
"BDLF2" 0 30.776 35.001 16 20.532 27 71.611 9.996 0 24 15 11 27 19.949 21.511 25 1 9.018 12 2 31.372 20 12 4
"BDLF3" 0 47.224 34.486 22.189 6.414 11 80 10.758 1 14 5 13 17.989 0 6.709 10 0 35 13 11 11 8 6.288 5
"BDLF3.5" 0 9.75 6.947 8 5.975 5.916 11.975 8.819 0 0 2 2 5.95 0 1.853 3.684 0 3 6 5.146 6.843 1 1.052 1
