Percentile	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
donor1_day0	31.0	42.0	31.0	33.0	26.0	33.0	33.0	31.0	18.0	17.0	12.0	12.0	11.0	9.0	10.0	13.0	16.0	12.0	16.0	20.0	20.0	27.0	34.0	42.0	37.0	15.0	19.0	14.0	19.0	18.0	22.0	26.0	38.0	44.0	46.0	28.0	40.0	46.0	49.0	41.0	15.0	16.0	14.0	26.0	29.0	38.0	45.0	55.0	57.0	52.0	52.0	57.0	60.0	58.0	66.0	75.0	78.0	82.0	74.0	67.0	34.0	36.0	26.0	29.0	35.0	43.0	43.0	43.0	54.0	65.0	64.0	62.0	68.0	82.0	80.0	86.0	76.0	79.0	77.0	88.0	117.0	111.0	119.0	123.0	113.0	127.0	104.0	109.0	119.0	97.0	111.0	120.0	119.0	107.0	107.0	97.0	88.0	57.0	43.0	29.0
donor1_day1	1170.0	1067	1056	1443	1368	2080	2399	2328	2111	1844	1311	1139	1012	977	1048	1120	856	890	964	991	1223	1669	4504	4377	3648	1238	1081	945	915	1024	1535	1944	4675	4228	4743	2490	4687	4487	4267	3845	1066	1007	1187.0	1673.0	2022.0	2434.0	4618.0	4354.0	3967.0	3901.0	3367.0	3854.0	4318.0	4452	6201.0	6300.0	6195.0	6925.0	6330.0	5278.0	1336.0	1192.0	1437.0	1989.0	2351.0	2765.0	2675.0	3275.0	3903.0	5435.0	6106.0	6986.0	7073.0	7953.0	7574.0	7905.0	7678.0	7392.0	9165.0	8696.0	11318.0	10985.0	10691.0	10370.0	9451.0	11292.0	11501.0	12286.0	12801.0	14174.0	15394.0	15104.0	13636.0	13076.0	12293.0	10767.0	9182.0	6974.0	4281.0	1600.0
donor1_day2	2199.0	2925	1930	2035	1648	2009	2304	2241	2028	1737	1301	1059	956	898	923	1031	939	890	976	979	1229	1463	3114	2953	2586	1202	1072	838	881	996	1230	1371	3253	2997	3180	1802	3145	3042	2896	2778	1194	1165	1241	1480.0	1626.0	1967.0	3215.0	2866.0	2907.0	2879.0	2722.0	3028.0	3085.0	3184.0	4035	3949.0	4030.0	4922.0	4848.0	4270.0	1787.0	1753.0	1829.0	1858.0	2074.0	2381.0	2372.0	2733.0	2893.0	3434.0	3621.0	3986.0	4156.0	4391.0	4348.0	4648.0	4754.0	4540.0	5811.0	5496.0	7832.0	7609.0	7527.0	7539.0	7436.0	7817.0	6947.0	7470.0	8096.0	7606.0	8058.0	7902.0	7622.0	7207.0	6644.0	5975.0	5311.0	4178.0	2977.0	1732.0
donor1_day3	1522.0	2145	1343	1402	1043	1326	1457	1489	1354	1118	789	638	596	526	545	598	513	500	519	522	622	702	1559	1430	1252	623	583	413	513	537	623	667	1667	1449	1494.0	942	1683	1567	1496.0	1337.0	700.0	639.0	664.0	789.0	927.0	1130.0	1803.0	1641.0	1609.0	1601.0	1522.0	1738.0	1817.0	1976.0	2345.0	2257.0	2414.0	2828.0	2712.0	2447.0	1224.0	1196.0	1279.0	1278.0	1296.0	1580.0	1442.0	1599.0	1683.0	1911.0	2002.0	2115.0	2207.0	2277.0	2320.0	2526.0	2773.0	2617.0	3344.0	3156.0	5154.0	4893.0	4895.0	4845.0	4772.0	5011.0	4156.0	4537.0	4928.0	4678.0	4582.0	4564.0	4443.0	4184.0	3800.0	3661.0	3298.0	2576.0	1940.0	1234.0
donor1_day4	1252.0	1900	1137	1034	688	787	877	843	790	653	461	350	335	310	336	390	345	346	355	345	438	506	921	866	727	396	359	267	316	334	402	502	960	896	939	650	1032	951	843	787	431	474.0	469.0	506.0	622.0	735.0	1110.0	993.0	986.0	975.0	903.0	1114.0	1123.0	1191.0	1438	1482.0	1597.0	1871.0	1821.0	1639.0	867.0	823.0	793.0	814.0	847.0	1020.0	1042.0	1153.0	1158.0	1265.0	1334.0	1414.0	1414.0	1586.0	1629.0	1746.0	1833.0	1799.0	2143.0	2024.0	3140.0	3031.0	3032.0	2999.0	2914.0	3105.0	2723.0	2944.0	3097.0	2928.0	3005.0	3015.0	2829.0	2720.0	2414.0	2312.0	2099.0	1624.0	1141.0	736.0
donor1_day5	1319.0	1699	1106	1071	776	921	994	1024	980	900	739	636	630	522	576	666	609	570	576	584	715	737	1188	1132	1042	543	526	453	460	545	574	632	1291	1232	1317	848	1229	1205	1193	1238.0	684.0	667	647.0	706.0	715.0	906.0	1249.0	1180.0	1156.0	1160.0	1164.0	1170.0	1200.0	1295.0	1524	1540.0	1612.0	1854.0	1844.0	1713.0	1012.0	976.0	956.0	966.0	1029.0	1230.0	1164.0	1311.0	1409.0	1510.0	1543.0	1480.0	1569.0	1645.0	1687.0	1861.0	1943.0	1919.0	2272.0	2155.0	3492.0	3413.0	3538.0	3567.0	3576.0	3733.0	2894.0	3149.0	3443.0	3406.0	3237.0	3246.0	3153.0	3039.0	2619.0	2466.0	2194.0	1664.0	1174.0	779.0
donor1_day8	3799.0	5014	3256	2927	2067	2232	2549	2497	2320	2075	1559	1287	1266	1156	1182	1511	1568	1536	1371	1442	1928	2102	3347	3144	2893	1697	1506	1211	1376	1377	1294	1484	3204	3099	3125	2057	2997	2928	2760	2732	1555	1509	1593	1788	1894	2189	3219	3047.0	3066.0	3012.0	2852	3294.0	3567	3803	4749	4826.0	4740.0	5542.0	5503.0	5106.0	2761.0	2713.0	2821.0	2851.0	3011.0	3288.0	3183.0	3622.0	3694.0	4099.0	4144.0	4370.0	4379.0	4785.0	4835.0	5135.0	4955.0	4752.0	5581.0	5418.0	8532.0	8234.0	8373.0	8415.0	8460.0	8880.0	7584.0	8159.0	8872.0	8318.0	8357.0	8529.0	7996.0	7482.0	6583.0	6039.0	5410.0	4398.0	3172.0	2221.0
donor1_day14	1545.0	2101	1316	1148	828	813	886	902	788	749	588	491	473	482	531	636	586	523	504	582	718	776	1217	1090	944	590	462	363	461	480	480	509	1098	1040	990.0	660.0	1025	953.0	967.0	907.0	524.0	487.0	476.0	508.0	567.0	633.0	1034.0	955.0	1003.0	949.0	907.0	1054.0	1125.0	1213.0	1466.0	1455.0	1437.0	1770.0	1726.0	1572.0	932.0	915.0	947.0	938.0	977.0	1057.0	1034.0	1155.0	1119.0	1268.0	1298.0	1372.0	1384.0	1459.0	1567.0	1658.0	1693.0	1651.0	1946.0	1828.0	2879.0	2845.0	2921.0	2849.0	2719.0	2835.0	2569.0	2719.0	2914.0	2855.0	2785.0	2812.0	2730.0	2613.0	2376.0	2162.0	1905.0	1591.0	1131.0	724.0
donor2_day0	27.0	40.0	25.0	22.0	14.0	21.0	26.0	24.0	18.0	17.0	5.0	6.0	6.0	6.0	6.0	7.0	3.0	4.0	4.0	6.0	6.0	7.0	23.0	20.0	22.0	12.0	10.0	13.0	11.0	10.0	13.0	14.0	26.0	16.0	24.0	27.0	40.0	35.0	37.0	35.0	25.0	24.0	23.0	22.0	25.0	29.0	37.0	35.0	37.0	40.0	36.0	50.0	48.0	41.0	50.0	50.0	51.0	59.0	60.0	47.0	23.0	25.0	22.0	25.0	25.0	29.0	26.0	27.0	32.0	44.0	52.0	57.0	58.0	66.0	74.0	67.0	61.0	59.0	69.0	66.0	79.0	72.0	73.0	71.0	77.0	78.0	69.0	69.0	75.0	79.0	68.0	66.0	53.0	51.0	45.0	50.0	36.0	32.0	27.0	16.0
donor2_day1	1045.0	1082	1017	1366	1296	1683	1888	1834	1726	1408	1076	986	861	767	793	807	621	643	728	765	957	1246	3290	2893	2307	975	876	677	799	794	1216	1585	3446	2828	3086	1999	3530	3083	2677	2552	1077	1063	1055.0	1324.0	1652.0	2035.0	3453.0	2988.0	2730.0	2754.0	2537.0	3107.0	3435.0	3595.0	4664.0	4365.0	4303.0	5679.0	5584.0	5163.0	1709.0	1575.0	1569.0	1665.0	1816.0	2086.0	1963.0	2355.0	2828.0	3711.0	3996.0	4391.0	4274.0	4942.0	5168.0	5498.0	5339.0	5373.0	6653.0	6225.0	7915.0	7369.0	7075.0	6871.0	6626.0	7496.0	7276.0	7714.0	8298.0	8058.0	7864.0	7664.0	6971.0	6476.0	6020.0	5374.0	4916.0	3686.0	2584.0	1647.0
